Name,Source,Purpose,"Cost Per",Quantity,"Cost Total",Link,
,,,,,,,
"Terminal Block",Digikey,"Input and Output for 15V + GND","$0.96",25,"$23.88","https://www.digikey.com/en/products/detail/phoenix-contact/1715721/260631",
"5V Solenoid - Small",Digikey,"The Glock Actuator","$6.50",30,"$195.00","https://www.digikey.com/en/products/detail/sparkfun-electronics/ROB-11015/6163694",
"470nF Cap",Digikey,Capacitance,"$0.44",35,"$15.33","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ECW-FD2W474J4/3844529",
"470uF Cap",Digikey,Capacitance,"$0.21",35,"$7.46","https://www.digikey.com/en/products/detail/nichicon/UVR1C471MPD1TD/3438545",
"1000uF Cap",Digikey,Capacitance,"$0.39",65,"$25.29","https://www.digikey.com/en/products/detail/nichicon/UVR1V102MHD1TO/3438559",
2N3904BU,Digikey,Transistor,"$0.11",100,"$10.50","https://www.digikey.com/en/products/detail/onsemi/2N3904BU/1413",
1N4007,Digikey,"Rectifier Diode - Current Backtrack Prevention","$0.05",100,"$5.40","https://www.digikey.com/en/products/detail/diotec-semiconductor/1N4007/18833652",
LED,Digikey,"Diffused Red LED for Showcase Purposes","$0.15",35,"$5.08","https://www.digikey.com/en/products/detail/kingbright/WP7113ID/1747663",
MOSFET,Digikey,"Toggling On High Current","$0.94",50,"$46.95","https://www.digikey.com/en/products/detail/infineon-technologies/IRLZ44NPBF/811808",
"Resistor 2.2k",Digikey,Resistance,"$0.03",100,"$3.30","https://www.digikey.com/en/products/detail/yageo/MFR50SFTE52-2K2/9151337",
"Resistor 22k",Digikey,Resistance,"$0.03",100,"$3.30","https://www.digikey.com/en/products/detail/yageo/MFR50SFTE52-22K/9151275",
"Resistor 330",Digikey,Resistance,"$0.04",35,"$1.33","https://www.digikey.com/en/products/detail/yageo/MF0207FRE52-330R/9124999",
"Solenoid Connector",Digikey,"JST Connector for Solenoid","$0.07",35,"$2.35","https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/440054-2/2077939",
"Power Cord",Digikey,"Scary Wall Outlet ⟶ 3 cables","$5.07",1,"$5.07","https://www.digikey.com/en/products/detail/qualtek/211011-01/5639882",
"Power Supply",Digikey,"AC-DC 15V 210W (PSU)","$26.00",1,"$26.00","https://www.digikey.com/en/products/detail/mean-well-usa-inc/LRS-200-15/7705023",
Shipping,Digikey,"FedEx Ground","$8.49",1,"$8.49","https://www.digikey.com/ordering/shoppingcart",
Tariff,Digikey,"US Import Tariff (Estimated)","$54.39",1,"$54.39","https://www.digikey.com/ordering/shoppingcart",
"Sales Tax",Digikey,"I don’t want the IRS to send a bomb to my house /j","$39.82",1,"$39.82","https://www.digikey.com/ordering/shoppingcart",
,,,,subtotal:,"$478.92",,
,,,,"DIGIKEY BOM TOTAL:","$480.00",,
,,,,,,,
"Arduino Mega 2560",OWNED,"The brains of the project! :D",N/A,1,N/A,OWNED,
"PSU for Arduino",OWNED,"Power Supply For The Brain!",N/A,1,N/A,OWNED,
,,,,,,,
"Full Wood Glockenspiel",Amazon,"It Loves Being Hit! Just like your mo- bad joke, sorry.","$52.99",1,"$52.99","https://www.amazon.com/dp/B0F62YSCMV",
"Kapton Tape",Amazon,"I don’t want to mess around with raw AC.","$5.08",1,"$5.08","https://www.amazon.com/dp/B0DZCR4TKM",
"16AWG Combo Wire",Amazon,"This connects the PCBs together!","$9.99",1,"$9.99","https://www.amazon.com/dp/B0FPFXLMHT",
"Jumpers M-M",Amazon,"This is used to connect the Arduino to the Breadboards","$3.99",1,"$3.99","https://www.amazon.com/dp/B0BRTJQZRD",
"Jumpers M-F",Amazon,"This is used to connect the Breadboards to the PCBs!","$6.98",1,"$6.98","https://www.amazon.com/dp/B01EV70C78",
"M2 Plastic Screws",Amazon,"Screws for everything NOT involving the plywood","$8.49",1,"$8.49","https://www.amazon.com/dp/B0GKMVNG4D",
"M2 Wood Screws",Amazon,"Screws for anything going INTO the plywood (self-tapping)","$5.99",1,"$5.99","https://www.amazon.com/dp/B0CY986CCR",
"JST-PH Extension Cables",Amazon,"The cables on the solenoids are only 6cm!","$9.54",2,"$19.08","https://www.amazon.com/XUGERIP-Connector-Female-Connectors-Extension/dp/B0D9R21XYY",
"Sales Tax",Amazon,"Again, I’m (usually) a law-abiding citizen.","$9.29",1,"$9.29","https://www.amazon.com/checkout/",
,,,,subtotal:,"$121.88",,
,,,,"AMAZON BOM TOTAL:","$122.00",,
,,,,,,,
"Plywood Panel","The Home Depot","Mounting for the ENTIRE project!","$15.00",1,"$15.00","https://www.homedepot.com/p/ProWood-15-32-in-x-2-ft-x-2-ft-Sanded-Plywood-Project-Panel-109118/202093832",
PCB,JLCPCB,"10pcs (10 * 3 = 30 solenoids), plus shipping & tax","$15.25",1,"$15.25",https://jlcpcb.com,
,,,,subtotal:,"$30.25",,
,,,,"MISC BOM TOTAL:","$30.00",,
,,,,,,,
"ABSOLUTE TOTAL:",,,,,,,
,,,,,,,
"$480.00","(Digikey)",,,,,,
"$122.00","(Amazon)",,,,,,
"$30.00","(JLCPCB)",,,,,,
,,,,,,,
"$632.00",,,,,,,
,,,,,,,
"CART SCREENSHOTS ARE","IN THE CART-SCREENSHOTS FOLDER.",,,,,,
,,,,,,,
